codemun,isic_r4,qtde_vinc_ativos_sum,massa_salarial_sum
110001,Agriculture,301,328678321.0
110001,Business,41,38783749.0
110001,Construction,44,62486277.0
110001,Financial,32,111882136.0
110001,Government,1025,1313294541.0
110001,Manufacturing,162,137655458.0
110001,OtherServices,20,14573985.0
110001,Trade,688,583713832.0
110001,Transport,47,42804892.0
110001,Utilities,112,184133306.0
110002,Agriculture,897,956409304.0
110002,Business,676,722610595.0
110002,Construction,552,931113547.0
110002,Financial,165,634792797.0
110002,Government,3520,6172071664.0
110002,Manufacturing,3006,3269144280.0
110002,Mining,336,534695885.0
110002,OtherServices,378,375328902.0
110002,RealEstate,27,19447159.0
110002,Trade,5980,6247585023.0
110002,Transport,496,534383911.0
110002,Utilities,20,14502847.0
110003,Agriculture,91,92755085.0
110003,Business,4,1956700.0
110003,Government,281,386852131.0
110003,Manufacturing,60,47991612.0
110003,OtherServices,7,3622300.0
110003,Trade,65,63775724.0
110004,Agriculture,383,304649238.0
110004,Business,673,629172441.0
110004,Construction,828,853766188.0
110004,Financial,146,530742596.0
110004,Government,3292,5861905851.0
110004,Manufacturing,2824,2748204109.0
110004,Mining,58,74484497.0
110004,OtherServices,268,217358774.0
110004,RealEstate,3,1503418.0
110004,Trade,5147,5084638002.0
110004,Transport,417,543458372.0
110004,Utilities,68,120233458.0
110005,Agriculture,129,101059355.0
110005,Business,56,48483871.0
110005,Construction,158,72498799.0
110005,Financial,20,80094508.0
110005,Government,961,1382654435.0
110005,Manufacturing,289,306070280.0
110005,OtherServices,19,20583407.0
110005,Trade,676,607418829.0
110005,Transport,28,34486729.0
110006,Agriculture,132,105376203.0
110006,Business,55,64690967.0
110006,Construction,41,133598681.0
110006,Financial,26,89044137.0
110006,Government,588,734738111.0
110006,Manufacturing,267,362911754.0
110006,Mining,5,2638825.0
110006,OtherServices,33,27144278.0
110006,Trade,562,447518450.0
110006,Transport,31,37579782.0
110006,Utilities,17,25288763.0
110007,Agriculture,218,279323880.0
110007,Business,4,1489200.0
110007,Construction,2,1825078.0
110007,Government,344,456481161.0
110007,Manufacturing,98,92978588.0
110007,OtherServices,5,4000609.0
110007,Trade,144,117646685.0
110007,Transport,4,5643236.0
110008,Agriculture,43,44920529.0
110008,Business,15,11814319.0
110008,Construction,0,0.0
110008,Government,571,603435039.0
110008,Manufacturing,75,86114177.0
110008,OtherServices,7,5089794.0
110008,Trade,114,85060882.0
110008,Transport,12,14939660.0
110009,Agriculture,371,373599901.0
110009,Business,49,45119370.0
110009,Construction,17,29353295.0
110009,Financial,27,91604315.0
110009,Government,931,1298327888.0
110009,Manufacturing,1147,1270506783.0
110009,Mining,40,38046579.0
110009,OtherServices,51,40140102.0
110009,Trade,1177,1060750772.0
110009,Transport,72,87938268.0
110009,Utilities,10,9064838.0
110010,Agriculture,55,43269267.0
110010,Business,63,51093267.0
110010,Construction,10,29226765.0
110010,Financial,74,211592647.0
110010,Government,1560,2380376247.0
110010,Manufacturing,66,75756216.0
110010,OtherServices,70,56582293.0
110010,Trade,1500,1444663964.0
110010,Transport,175,198348458.0
110011,Agriculture,253,222978629.0
110011,Business,198,172088843.0
110011,Construction,211,340041527.0
110011,Financial,97,316858514.0
110011,Government,1831,2741553933.0
