sector,Agriculture,Mining,Manufacturing,Utilities,Construction,Trade,Transport,Business,Financial,RealEstate,OtherServices,Government
Agriculture,0.040534311,0.000524637,0.076449253,0.000463372,0.002559273,0.009147892,0.000568319,0.000239738,6.25655e-05,5.50125e-05,0.004331318,0.00156793
Mining,0.001102888,0.054400963,0.042077781,0.014913519,0.011187753,0.000189027,0.000283606,0.000288554,7.85549e-05,0.000627874,0.000206225,0.000294366
Manufacturing,0.20642303,0.110894505,0.273069483,0.075992549,0.205220303,0.057380844,0.182534981,0.0279489,0.009685629,0.009289329,0.071106355,0.025899345
Utilities,0.023301242,0.010807605,0.015455605,0.275759568,0.001162759,0.017589068,0.005739961,0.007239573,0.004112766,0.001259522,0.016649395,0.017256146
Construction,0.000592695,0.012571096,0.000917125,0.012761137,0.093540153,0.001035306,0.003140253,0.016369376,0.002982811,0.002920853,0.003560329,0.013924249
Trade,0.059395135,0.031209898,0.078902322,0.020162528,0.05771765,0.027504782,0.046993694,0.02498731,0.00593415,0.003260666,0.032101043,0.013314366
Transport,0.019993629,0.083783137,0.049323146,0.018608535,0.011904719,0.050342209,0.112530531,0.009639543,0.014215252,0.000853874,0.018312787,0.011772526
Business,0.000201581,0.003878988,0.005629733,0.006543292,0.002253644,0.013107921,0.007641952,0.120957886,0.039272538,0.001419554,0.037999555,0.017331599
Financial,0.015253392,0.022241782,0.017558898,0.021695073,0.01428485,0.023598441,0.02477788,0.029116431,0.124072904,0.037904361,0.017001344,0.044627956
RealEstate,3.64576e-05,0.001358359,0.001830843,0.004294604,0.001680581,0.033813575,0.006732151,0.012230545,0.009615042,0.002742154,0.017498518,0.003605027
OtherServices,0.00369196,0.092964573,0.045851826,0.050632926,0.023313871,0.079917796,0.057672585,0.140586594,0.101801513,0.007998258,0.090339152,0.078202142
Government,0.00074141,0.004864058,0.002798704,0.004594445,0.001172534,0.004107293,0.003889642,0.006316981,0.004482879,0.000377111,0.004163899,0.0034693898088719
